description,category
INDIAN OIL TXN,Fuel
FLIGHT BOOKING,Travel
NPS #1234,Investment
INDIAN OIL INDIA,Fuel
SHELL PETROL STORE,Fuel
AIRTEL PAYMENT,Bills
BANK CHARGE BANGALORE,Others
IRCTC TXN,Travel
SALARY CREDIT INDIA,Salary
BUS TICKET TXN,Travel
FLIGHT BOOKING ONLINE,Travel
APOLLO PHARMACY BANGALORE,Healthcare
SHELL PETROL STORE,Fuel
STOCK PURCHASE TXN,Investment
MONTHLY SALARY POS,Salary
APOLLO PHARMACY POS,Healthcare
MEDICAL STORE KOCHI,Healthcare
BANK CHARGE UPI,Others
NETFLIX POS,Entertainment
CHEQUE PAYMENT PAYMENT,Others
IRCTC INDIA,Travel
BHARAT PETROLEUM PAYMENT,Fuel
BONUS CREDIT BANGALORE,Salary
MEDICAL STORE PAYMENT,Healthcare
AMAZON PRIME POS,Entertainment
MONTHLY SALARY UPI,Salary
BONUS CREDIT #1234,Salary
SHELL PETROL INDIA,Fuel
SALARY CREDIT UPI,Salary
PIZZA HUT PAYMENT,Food
PIZZA HUT #1234,Food
INDIAN OIL KOCHI,Fuel
METRO RECHARGE INDIA,Travel
BANK CHARGE BANGALORE,Others
CHEQUE PAYMENT PAYMENT,Others
MUTUAL FUND SIP,Investment
ZOMATO PAYMENT STORE,Food
FLIPKART INDIA,Shopping
JIO RECHARGE,Bills
NPS,Investment
APOLLO PHARMACY #1234,Healthcare
DENTAL CLINIC INDIA,Healthcare
ZOMATO PAYMENT BANGALORE,Food
BHARAT PETROLEUM INDIA,Fuel
PUMA BANGALORE,Shopping
ATM WITHDRAWAL KOCHI,Others
CROMA BANGALORE,Shopping
SHELL PETROL #1234,Fuel
ELECTRICITY BILL BANGALORE,Bills
NETFLIX STORE,Entertainment
METRO RECHARGE UPI,Travel
CHEQUE PAYMENT,Others
CROMA STORE,Shopping
NPS POS,Investment
MONTHLY SALARY,Salary
CHEQUE PAYMENT BANGALORE,Others
IRCTC STORE,Travel
LAB TEST STORE,Healthcare
WATER BILL UPI,Bills
MUTUAL FUND SIP ONLINE,Investment
MEDICAL STORE ONLINE,Healthcare
ZERODHA UPI,Investment
METRO RECHARGE TXN,Travel
MONTHLY SALARY KOCHI,Salary
CHEQUE PAYMENT,Others
AMAZON PRIME STORE,Entertainment
PPF INDIA,Investment
MONTHLY SALARY UPI,Salary
AMAZON PAY,Shopping
NETFLIX INDIA,Entertainment
BOOKMYSHOW BANGALORE,Entertainment
LAB TEST BANGALORE,Healthcare
PPF TXN,Investment
PPF TXN,Investment
SWIGGY ORDER PAYMENT,Food
DENTAL CLINIC PAYMENT,Healthcare
FLIPKART #1234,Shopping
BROADBAND BILL PAYMENT,Bills
INDIAN OIL BANGALORE,Fuel
MONTHLY SALARY,Salary
BONUS CREDIT TXN,Salary
CASH WITHDRAWAL PAYMENT,Others
JIO RECHARGE,Bills
MONTHLY SALARY #1234,Salary
DENTAL CLINIC,Healthcare
KSRTC BANGALORE,Travel
HOSPITAL,Healthcare
MONTHLY SALARY STORE,Salary
CASH WITHDRAWAL STORE,Others
STARBUCKS KOCHI,Food
MUTUAL FUND SIP,Investment
FLIPKART STORE,Shopping
JIO RECHARGE #1234,Bills
BHARAT PETROLEUM PAYMENT,Fuel
FLIPKART KOCHI,Shopping
BONUS CREDIT TXN,Salary
MONTHLY SALARY INDIA,Salary
HOSPITAL UPI,Healthcare
AMAZON PRIME UPI,Entertainment
NIKE STORE #1234,Shopping
MONTHLY SALARY #1234,Salary
BONUS CREDIT BANGALORE,Salary
HP PETROL STORE,Fuel
FLIPKART TXN,Shopping
LAB TEST,Healthcare
BONUS CREDIT POS,Salary
SPOTIFY PAYMENT,Entertainment
CHEQUE PAYMENT #1234,Others
SWIGGY ORDER ONLINE,Food
RAPIDO POS,Travel
DOMINOS PIZZA BANGALORE,Food
YOUTUBE PREMIUM,Entertainment
RELIANCE DIGITAL KOCHI,Shopping
HOSPITAL TXN,Healthcare
RAPIDO STORE,Travel
CROMA,Shopping
BHARAT PETROLEUM PAYMENT,Fuel
AMAZON PRIME,Entertainment
INDIAN OIL INDIA,Fuel
DENTAL CLINIC PAYMENT,Healthcare
IRCTC INDIA,Travel
HP PETROL STORE,Fuel
BHARAT PETROLEUM ONLINE,Fuel
CAFE COFFEE DAY UPI,Food
CHEQUE PAYMENT TXN,Others
SPOTIFY POS,Entertainment
MONTHLY SALARY TXN,Salary
APOLLO PHARMACY INDIA,Healthcare
BONUS CREDIT,Salary
HOTSTAR INDIA,Entertainment
DENTAL CLINIC UPI,Healthcare
HOSPITAL UPI,Healthcare
KFC INDIA POS,Food
SPOTIFY PAYMENT,Entertainment
LAB TEST TXN,Healthcare
MCDONALDS POS,Food
MONTHLY SALARY POS,Salary
CROMA PAYMENT,Shopping
BONUS CREDIT UPI,Salary
FLIGHT BOOKING TXN,Travel
LAB TEST STORE,Healthcare
KSRTC POS,Travel
SPOTIFY PAYMENT,Entertainment
JIO RECHARGE ONLINE,Bills
KSRTC STORE,Travel
STOCK PURCHASE,Investment
BONUS CREDIT POS,Salary
SHELL PETROL INDIA,Fuel
AJIO TXN,Shopping
AIRTEL INDIA,Bills
CHEQUE PAYMENT BANGALORE,Others
MCDONALDS TXN,Food
HOTSTAR STORE,Entertainment
CAFE COFFEE DAY PAYMENT,Food
BROADBAND BILL,Bills
JIO RECHARGE STORE,Bills
JIO RECHARGE,Bills
BONUS CREDIT TXN,Salary
AIRTEL TXN,Bills
AMAZON PAY ONLINE,Shopping
NPS STORE,Investment
RAPIDO BANGALORE,Travel
NPS ONLINE,Investment
BOOKMYSHOW STORE,Entertainment
BUS TICKET TXN,Travel
PPF ONLINE,Investment
MEDICAL STORE STORE,Healthcare
SHELL PETROL KOCHI,Fuel
MYNTRA ONLINE,Shopping
LAB TEST STORE,Healthcare
BROADBAND BILL KOCHI,Bills
SPOTIFY BANGALORE,Entertainment
JIO RECHARGE ONLINE,Bills
SHELL PETROL,Fuel
RELIANCE DIGITAL TXN,Shopping
CAFE COFFEE DAY ONLINE,Food
BHARAT PETROLEUM,Fuel
MYNTRA INDIA,Shopping
BANK CHARGE,Others
WATER BILL STORE,Bills
CASH WITHDRAWAL UPI,Others
NETFLIX,Entertainment
CAFE COFFEE DAY BANGALORE,Food
METRO RECHARGE INDIA,Travel
METRO RECHARGE BANGALORE,Travel
INDIAN OIL STORE,Fuel
SPOTIFY PAYMENT,Entertainment
METRO RECHARGE STORE,Travel
PIZZA HUT,Food
PUMA PAYMENT,Shopping
UBER TRIP STORE,Travel
AIRTEL POS,Bills
MOBILE RECHARGE,Bills
BROADBAND BILL STORE,Bills
HP PETROL,Fuel
INDIAN OIL PAYMENT,Fuel
STOCK PURCHASE ONLINE,Investment
HP PETROL,Fuel
RAPIDO KOCHI,Travel
ELECTRICITY BILL #1234,Bills
SUBWAY,Food
RAPIDO INDIA,Travel
BONUS CREDIT #1234,Salary
LAB TEST,Healthcare
ZOMATO PAYMENT,Food
SALARY CREDIT BANGALORE,Salary
MUTUAL FUND SIP TXN,Investment
JIO RECHARGE PAYMENT,Bills
MCDONALDS UPI,Food
OLA CAB #1234,Travel
METRO RECHARGE #1234,Travel
STARBUCKS #1234,Food
BHARAT PETROLEUM INDIA,Fuel
INDIAN OIL POS,Fuel
APOLLO PHARMACY INDIA,Healthcare
CASH WITHDRAWAL TXN,Others
STOCK PURCHASE UPI,Investment
STARBUCKS #1234,Food
ZERODHA UPI,Investment
PUMA UPI,Shopping
HP PETROL STORE,Fuel
BROADBAND BILL TXN,Bills
MEDICAL STORE KOCHI,Healthcare
AJIO STORE,Shopping
BROADBAND BILL STORE,Bills
BANK CHARGE #1234,Others
RELIANCE DIGITAL STORE,Shopping
MUTUAL FUND SIP POS,Investment
RELIANCE DIGITAL PAYMENT,Shopping
MUTUAL FUND SIP TXN,Investment
NIKE STORE INDIA,Shopping
KSRTC ONLINE,Travel
SWIGGY ORDER TXN,Food
MUTUAL FUND SIP ONLINE,Investment
BROADBAND BILL INDIA,Bills
AIRTEL INDIA,Bills
CHEQUE PAYMENT UPI,Others
RELIANCE DIGITAL UPI,Shopping
RELIANCE DIGITAL INDIA,Shopping
HP PETROL PAYMENT,Fuel
BONUS CREDIT #1234,Salary
BHARAT PETROLEUM INDIA,Fuel
SUBWAY KOCHI,Food
WATER BILL INDIA,Bills
BROADBAND BILL TXN,Bills
CHEQUE PAYMENT ONLINE,Others
ATM WITHDRAWAL UPI,Others
PIZZA HUT TXN,Food
UBER TRIP STORE,Travel
CHEQUE PAYMENT #1234,Others
MYNTRA INDIA,Shopping
AIRTEL BANGALORE,Bills
BANK CHARGE POS,Others
BANK CHARGE KOCHI,Others
CHEQUE PAYMENT PAYMENT,Others
STOCK PURCHASE PAYMENT,Investment
DENTAL CLINIC PAYMENT,Healthcare
HOTSTAR BANGALORE,Entertainment
BUS TICKET #1234,Travel
JIO RECHARGE KOCHI,Bills
WATER BILL PAYMENT,Bills
PIZZA HUT ONLINE,Food
AIRTEL INDIA,Bills
NIKE STORE,Shopping
NIKE STORE PAYMENT,Shopping
BHARAT PETROLEUM KOCHI,Fuel
KSRTC POS,Travel
HOTSTAR BANGALORE,Entertainment
ATM WITHDRAWAL ONLINE,Others
IRCTC STORE,Travel
ZERODHA KOCHI,Investment
PUMA BANGALORE,Shopping
SHELL PETROL INDIA,Fuel
ZERODHA BANGALORE,Investment
BOOKMYSHOW,Entertainment
MONTHLY SALARY KOCHI,Salary
MUTUAL FUND SIP UPI,Investment
AIRTEL UPI,Bills
HP PETROL PAYMENT,Fuel
MEDICAL STORE INDIA,Healthcare
MEDICAL STORE STORE,Healthcare
MCDONALDS UPI,Food
WATER BILL STORE,Bills
SHELL PETROL,Fuel
NIKE STORE #1234,Shopping
OLA CAB KOCHI,Travel
NPS INDIA,Investment
PIZZA HUT POS,Food
CASH WITHDRAWAL,Others
FLIGHT BOOKING #1234,Travel
SALARY CREDIT ONLINE,Salary
MOBILE RECHARGE POS,Bills
APOLLO PHARMACY BANGALORE,Healthcare
CHEQUE PAYMENT KOCHI,Others
ZOMATO PAYMENT TXN,Food
CASH WITHDRAWAL BANGALORE,Others
KSRTC POS,Travel
SPOTIFY STORE,Entertainment
ELECTRICITY BILL KOCHI,Bills
LAB TEST BANGALORE,Healthcare
METRO RECHARGE #1234,Travel
AIRTEL #1234,Bills
YOUTUBE PREMIUM UPI,Entertainment
SPOTIFY UPI,Entertainment
HOSPITAL PAYMENT,Healthcare
PIZZA HUT #1234,Food
HP PETROL ONLINE,Fuel
STOCK PURCHASE KOCHI,Investment
MYNTRA,Shopping
SALARY CREDIT BANGALORE,Salary
BONUS CREDIT TXN,Salary
BANK CHARGE STORE,Others
BUS TICKET PAYMENT,Travel
CHEQUE PAYMENT KOCHI,Others
NETFLIX #1234,Entertainment
WATER BILL POS,Bills
IRCTC #1234,Travel
BHARAT PETROLEUM UPI,Fuel
OLA CAB POS,Travel
BUS TICKET PAYMENT,Travel
BHARAT PETROLEUM STORE,Fuel
METRO RECHARGE PAYMENT,Travel
STARBUCKS POS,Food
HOTSTAR INDIA,Entertainment
MONTHLY SALARY,Salary
ATM WITHDRAWAL #1234,Others
STOCK PURCHASE PAYMENT,Investment
HOTSTAR KOCHI,Entertainment
HP PETROL BANGALORE,Fuel
AMAZON PRIME #1234,Entertainment
YOUTUBE PREMIUM PAYMENT,Entertainment
JIO RECHARGE PAYMENT,Bills
SHELL PETROL STORE,Fuel
APOLLO PHARMACY INDIA,Healthcare
IRCTC KOCHI,Travel
LAB TEST,Healthcare
SHELL PETROL STORE,Fuel
BURGER KING INDIA,Food
DOMINOS PIZZA STORE,Food
DENTAL CLINIC #1234,Healthcare
CHEQUE PAYMENT ONLINE,Others
STARBUCKS PAYMENT,Food
STOCK PURCHASE INDIA,Investment
ZERODHA TXN,Investment
STOCK PURCHASE,Investment
SPOTIFY PAYMENT,Entertainment
MEDICAL STORE UPI,Healthcare
MEDICAL STORE TXN,Healthcare
NETFLIX #1234,Entertainment
NIKE STORE POS,Shopping
HOTSTAR INDIA,Entertainment
AMAZON PRIME BANGALORE,Entertainment
YOUTUBE PREMIUM #1234,Entertainment
OLA CAB PAYMENT,Travel
CROMA POS,Shopping
AIRTEL STORE,Bills
ELECTRICITY BILL TXN,Bills
FLIGHT BOOKING TXN,Travel
INDIAN OIL ONLINE,Fuel
ATM WITHDRAWAL #1234,Others
AIRTEL BANGALORE,Bills
KFC INDIA KOCHI,Food
BONUS CREDIT UPI,Salary
AJIO KOCHI,Shopping
MEDICAL STORE #1234,Healthcare
HOTSTAR KOCHI,Entertainment
SALARY CREDIT ONLINE,Salary
BONUS CREDIT #1234,Salary
CASH WITHDRAWAL,Others
HOSPITAL BANGALORE,Healthcare
ELECTRICITY BILL KOCHI,Bills
BHARAT PETROLEUM PAYMENT,Fuel
SHELL PETROL POS,Fuel
AIRTEL PAYMENT,Bills
MOBILE RECHARGE #1234,Bills
AJIO,Shopping
MUTUAL FUND SIP #1234,Investment
SALARY CREDIT UPI,Salary
PPF ONLINE,Investment
HP PETROL INDIA,Fuel
BHARAT PETROLEUM TXN,Fuel
METRO RECHARGE KOCHI,Travel
ELECTRICITY BILL ONLINE,Bills
BONUS CREDIT PAYMENT,Salary
PIZZA HUT #1234,Food
SHELL PETROL POS,Fuel
MOBILE RECHARGE TXN,Bills
MONTHLY SALARY TXN,Salary
DENTAL CLINIC STORE,Healthcare
HOSPITAL TXN,Healthcare
SHELL PETROL UPI,Fuel
MCDONALDS KOCHI,Food
HP PETROL,Fuel
RELIANCE DIGITAL #1234,Shopping
METRO RECHARGE STORE,Travel
ZOMATO PAYMENT,Food
HOSPITAL KOCHI,Healthcare
PUMA STORE,Shopping
SALARY CREDIT,Salary
CASH WITHDRAWAL INDIA,Others
SWIGGY ORDER TXN,Food
BANK CHARGE UPI,Others
BROADBAND BILL PAYMENT,Bills
YOUTUBE PREMIUM POS,Entertainment
PUMA TXN,Shopping
MEDICAL STORE INDIA,Healthcare
PUMA TXN,Shopping
DENTAL CLINIC KOCHI,Healthcare
AMAZON PRIME PAYMENT,Entertainment
MUTUAL FUND SIP PAYMENT,Investment
HP PETROL #1234,Fuel
CHEQUE PAYMENT STORE,Others
SHELL PETROL KOCHI,Fuel
ZERODHA ONLINE,Investment
RELIANCE DIGITAL TXN,Shopping
SPOTIFY #1234,Entertainment
HOTSTAR,Entertainment
NIKE STORE UPI,Shopping
METRO RECHARGE PAYMENT,Travel
MUTUAL FUND SIP #1234,Investment
CROMA UPI,Shopping
HP PETROL PAYMENT,Fuel
METRO RECHARGE,Travel
STOCK PURCHASE #1234,Investment
BANK CHARGE TXN,Others
SALARY CREDIT,Salary
KFC INDIA ONLINE,Food
CAFE COFFEE DAY PAYMENT,Food
CHEQUE PAYMENT,Others
HOTSTAR STORE,Entertainment
BURGER KING PAYMENT,Food
CHEQUE PAYMENT UPI,Others
MONTHLY SALARY ONLINE,Salary
OLA CAB #1234,Travel
AMAZON PAY #1234,Shopping
DENTAL CLINIC BANGALORE,Healthcare
HOSPITAL KOCHI,Healthcare
JIO RECHARGE POS,Bills
LAB TEST BANGALORE,Healthcare
PPF ONLINE,Investment
BONUS CREDIT UPI,Salary
BHARAT PETROLEUM ONLINE,Fuel
IRCTC TXN,Travel
NETFLIX BANGALORE,Entertainment
APOLLO PHARMACY BANGALORE,Healthcare
RAPIDO,Travel
FLIGHT BOOKING STORE,Travel
DOMINOS PIZZA INDIA,Food
MYNTRA,Shopping
CASH WITHDRAWAL INDIA,Others
STOCK PURCHASE STORE,Investment
LAB TEST ONLINE,Healthcare
STOCK PURCHASE STORE,Investment
MEDICAL STORE UPI,Healthcare
BANK CHARGE BANGALORE,Others
ATM WITHDRAWAL,Others
YOUTUBE PREMIUM INDIA,Entertainment
MCDONALDS TXN,Food
MONTHLY SALARY KOCHI,Salary
SALARY CREDIT PAYMENT,Salary
ZERODHA STORE,Investment
PIZZA HUT,Food
CASH WITHDRAWAL PAYMENT,Others
SALARY CREDIT TXN,Salary
RAPIDO STORE,Travel
YOUTUBE PREMIUM INDIA,Entertainment
MOBILE RECHARGE,Bills
INDIAN OIL KOCHI,Fuel
METRO RECHARGE TXN,Travel
KSRTC #1234,Travel
ATM WITHDRAWAL POS,Others
SPOTIFY ONLINE,Entertainment
KSRTC INDIA,Travel
SHELL PETROL POS,Fuel
HOTSTAR BANGALORE,Entertainment
MONTHLY SALARY PAYMENT,Salary
BANK CHARGE TXN,Others
MEDICAL STORE INDIA,Healthcare
BROADBAND BILL ONLINE,Bills
CAFE COFFEE DAY,Food
RAPIDO BANGALORE,Travel
CROMA KOCHI,Shopping
MONTHLY SALARY UPI,Salary
PPF PAYMENT,Investment
CHEQUE PAYMENT,Others
KFC INDIA TXN,Food
AIRTEL INDIA,Bills
MUTUAL FUND SIP KOCHI,Investment
PPF TXN,Investment
PPF INDIA,Investment
CHEQUE PAYMENT INDIA,Others
KSRTC BANGALORE,Travel
BANK CHARGE TXN,Others
ZOMATO PAYMENT TXN,Food
BROADBAND BILL POS,Bills
SHELL PETROL TXN,Fuel
ATM WITHDRAWAL ONLINE,Others
WATER BILL PAYMENT,Bills
AMAZON PRIME,Entertainment
KSRTC #1234,Travel
BROADBAND BILL ONLINE,Bills
LAB TEST KOCHI,Healthcare
UBER TRIP KOCHI,Travel
BOOKMYSHOW ONLINE,Entertainment
FLIGHT BOOKING ONLINE,Travel
NIKE STORE INDIA,Shopping
BONUS CREDIT BANGALORE,Salary
PIZZA HUT,Food
BANK CHARGE POS,Others
HOTSTAR,Entertainment
BONUS CREDIT #1234,Salary
AMAZON PRIME PAYMENT,Entertainment
MOBILE RECHARGE UPI,Bills
MEDICAL STORE KOCHI,Healthcare
BOOKMYSHOW BANGALORE,Entertainment
PUMA STORE,Shopping
YOUTUBE PREMIUM TXN,Entertainment
CASH WITHDRAWAL BANGALORE,Others
BONUS CREDIT ONLINE,Salary
OLA CAB,Travel
MEDICAL STORE ONLINE,Healthcare
MONTHLY SALARY INDIA,Salary
MEDICAL STORE #1234,Healthcare
YOUTUBE PREMIUM BANGALORE,Entertainment
IRCTC ONLINE,Travel
BONUS CREDIT TXN,Salary
BOOKMYSHOW UPI,Entertainment
IRCTC #1234,Travel
HP PETROL KOCHI,Fuel
SHELL PETROL ONLINE,Fuel
BHARAT PETROLEUM TXN,Fuel
MEDICAL STORE #1234,Healthcare
HP PETROL STORE,Fuel
PIZZA HUT PAYMENT,Food
YOUTUBE PREMIUM PAYMENT,Entertainment
BUS TICKET BANGALORE,Travel
ELECTRICITY BILL,Bills
RAPIDO,Travel
CROMA BANGALORE,Shopping
SHELL PETROL,Fuel
SWIGGY ORDER,Food
PUMA POS,Shopping
ZERODHA PAYMENT,Investment
DENTAL CLINIC,Healthcare
BURGER KING POS,Food
STOCK PURCHASE PAYMENT,Investment
STOCK PURCHASE INDIA,Investment
HOTSTAR STORE,Entertainment
NIKE STORE PAYMENT,Shopping
BHARAT PETROLEUM BANGALORE,Fuel
AMAZON PAY BANGALORE,Shopping
IRCTC INDIA,Travel
BURGER KING KOCHI,Food
NIKE STORE POS,Shopping
SHELL PETROL PAYMENT,Fuel
JIO RECHARGE POS,Bills
FLIGHT BOOKING STORE,Travel
MOBILE RECHARGE TXN,Bills
HOTSTAR BANGALORE,Entertainment
BANK CHARGE UPI,Others
BHARAT PETROLEUM KOCHI,Fuel
CASH WITHDRAWAL PAYMENT,Others
BHARAT PETROLEUM TXN,Fuel
WATER BILL PAYMENT,Bills
